symbol,name,open,high,low,close,volume,strike,category,exchange_id
PETRD30,"PETROBRAS PN, R$ 29.94, 17-04-2025",0.0,0.0,0.0,8.0,0,29.94,CALL,BOVESPA
PETRP30,"PETROBRAS PN, R$ 29.94, 17-04-2025",0.0,0.0,0.0,0.4,0,29.94,PUT,BOVESPA
PETRD311,"PETROBRAS PN, R$ 30.19, 17-04-2025",0.0,0.0,0.0,0.0,0,30.19,CALL,BOVESPA
PETRP311,"PETROBRAS PN, R$ 30.19, 17-04-2025",0.0,0.0,0.0,0.4,0,30.19,PUT,BOVESPA
PETRD314,"PETROBRAS PN, R$ 30.44, 17-04-2025",0.0,0.0,0.0,0.0,0,30.44,CALL,BOVESPA
PETRP314,"PETROBRAS PN, R$ 30.44, 17-04-2025",0.0,0.0,0.0,0.6,0,30.44,PUT,BOVESPA
PETRD36,"PETROBRAS PN, R$ 30.69, 17-04-2025",0.0,0.0,0.0,9.96,0,30.69,CALL,BOVESPA
PETRP36,"PETROBRAS PN, R$ 30.69, 17-04-2025",0.0,0.0,0.0,0.49,0,30.69,PUT,BOVESPA
PETRD319,"PETROBRAS PN, R$ 30.94, 17-04-2025",0.0,0.0,0.0,9.45,0,30.94,CALL,BOVESPA
PETRP319,"PETROBRAS PN, R$ 30.94, 17-04-2025",0.0,0.0,0.0,0.01,0,30.94,PUT,BOVESPA
PETRD321,"PETROBRAS PN, R$ 31.19, 17-04-2025",0.0,0.0,0.0,6.57,0,31.19,CALL,BOVESPA
PETRP321,"PETROBRAS PN, R$ 31.19, 17-04-2025",0.0,0.0,0.0,0.01,0,31.19,PUT,BOVESPA
PETRD324,"PETROBRAS PN, R$ 31.44, 17-04-2025",0.0,0.0,0.0,6.51,0,31.44,CALL,BOVESPA
PETRP324,"PETROBRAS PN, R$ 31.44, 17-04-2025",0.0,0.0,0.0,0.0,0,31.44,PUT,BOVESPA
PETRD326,"PETROBRAS PN, R$ 31.69, 17-04-2025",0.0,0.0,0.0,0.0,0,31.69,CALL,BOVESPA
PETRP326,"PETROBRAS PN, R$ 31.69, 17-04-2025",0.0,0.0,0.0,0.0,0,31.69,PUT,BOVESPA
PETRD437,"PETROBRAS PN, R$ 31.94, 17-04-2025",0.0,0.0,0.0,7.55,0,31.94,CALL,BOVESPA
PETRP437,"PETROBRAS PN, R$ 31.94, 17-04-2025",0.0,0.0,0.0,0.65,0,31.94,PUT,BOVESPA
PETRD331,"PETROBRAS PN, R$ 32.19, 17-04-2025",0.0,0.0,0.0,7.75,0,32.19,CALL,BOVESPA
PETRP331,"PETROBRAS PN, R$ 32.19, 17-04-2025",0.0,0.0,0.0,0.01,0,32.19,PUT,BOVESPA
PETRD334,"PETROBRAS PN, R$ 32.44, 17-04-2025",0.0,0.0,0.0,7.56,0,32.44,CALL,BOVESPA
PETRP334,"PETROBRAS PN, R$ 32.44, 17-04-2025",0.0,0.0,0.0,0.01,0,32.44,PUT,BOVESPA
PETRD336,"PETROBRAS PN, R$ 32.69, 17-04-2025",0.0,0.0,0.0,6.84,0,32.69,CALL,BOVESPA
PETRP336,"PETROBRAS PN, R$ 32.69, 17-04-2025",0.0,0.0,0.0,0.01,0,32.69,PUT,BOVESPA
PETRD339,"PETROBRAS PN, R$ 32.94, 17-04-2025",0.0,0.0,0.0,8.5,0,32.94,CALL,BOVESPA
PETRP339,"PETROBRAS PN, R$ 32.94, 17-04-2025",0.0,0.0,0.0,0.0,0,32.94,PUT,BOVESPA
PETRD341,"PETROBRAS PN, R$ 33.19, 17-04-2025",0.0,0.0,0.0,6.06,0,33.19,CALL,BOVESPA
PETRP341,"PETROBRAS PN, R$ 33.19, 17-04-2025",0.82,0.82,0.82,0.82,200,33.19,PUT,BOVESPA
PETRD344,"PETROBRAS PN, R$ 33.44, 17-04-2025",0.0,0.0,0.0,5.0,0,33.44,CALL,BOVESPA
PETRP344,"PETROBRAS PN, R$ 33.44, 17-04-2025",0.0,0.0,0.0,0.81,0,33.44,PUT,BOVESPA
PETRD34,"PETROBRAS PN, R$ 33.69, 17-04-2025",0.0,0.0,0.0,4.99,0,33.69,CALL,BOVESPA
PETRP34,"PETROBRAS PN, R$ 33.69, 17-04-2025",0.0,0.0,0.0,1.04,0,33.69,PUT,BOVESPA
PETRD457,"PETROBRAS PN, R$ 33.94, 17-04-2025",0.0,0.0,0.0,6.2,0,33.94,CALL,BOVESPA
PETRP457,"PETROBRAS PN, R$ 33.94, 17-04-2025",0.0,0.0,0.0,1.05,0,33.94,PUT,BOVESPA
PETRD351,"PETROBRAS PN, R$ 34.19, 17-04-2025",0.0,0.0,0.0,5.65,0,34.19,CALL,BOVESPA
PETRP351,"PETROBRAS PN, R$ 34.19, 17-04-2025",0.0,0.0,0.0,0.9,0,34.19,PUT,BOVESPA
PETRD354,"PETROBRAS PN, R$ 34.44, 17-04-2025",0.0,0.0,0.0,5.48,0,34.44,CALL,BOVESPA
PETRP354,"PETROBRAS PN, R$ 34.44, 17-04-2025",0.0,0.0,0.0,0.01,0,34.44,PUT,BOVESPA
PETRD356,"PETROBRAS PN, R$ 34.69, 17-04-2025",0.0,0.0,0.0,0.0,0,34.69,CALL,BOVESPA
PETRP356,"PETROBRAS PN, R$ 34.69, 17-04-2025",0.0,0.0,0.0,0.0,0,34.69,PUT,BOVESPA
PETRD5,"PETROBRAS PN, R$ 34.94, 17-04-2025",0.0,0.0,0.0,5.5,0,34.94,CALL,BOVESPA
PETRP5,"PETROBRAS PN, R$ 34.94, 17-04-2025",1.0,1.1,1.0,1.1,200,34.94,PUT,BOVESPA
PETRD361,"PETROBRAS PN, R$ 35.19, 17-04-2025",0.0,0.0,0.0,4.77,0,35.19,CALL,BOVESPA
PETRP361,"PETROBRAS PN, R$ 35.19, 17-04-2025",1.3,1.35,1.3,1.35,700,35.19,PUT,BOVESPA
PETRD402,"PETROBRAS PN, R$ 35.44, 17-04-2025",0.0,0.0,0.0,5.37,0,35.44,CALL,BOVESPA
PETRP402,"PETROBRAS PN, R$ 35.44, 17-04-2025",0.0,0.0,0.0,1.42,0,35.44,PUT,BOVESPA
PETRD366,"PETROBRAS PN, R$ 35.69, 17-04-2025",0.0,0.0,0.0,6.5,0,35.69,CALL,BOVESPA
PETRP366,"PETROBRAS PN, R$ 35.69, 17-04-2025",0.0,0.0,0.0,1.45,0,35.69,PUT,BOVESPA
PETRD369,"PETROBRAS PN, R$ 35.94, 17-04-2025",0.0,0.0,0.0,26.22,0,35.94,CALL,BOVESPA
PETRP369,"PETROBRAS PN, R$ 35.94, 17-04-2025",0.0,0.0,0.0,0.01,0,35.94,PUT,BOVESPA
PETRD371,"PETROBRAS PN, R$ 36.19, 17-04-2025",0.0,0.0,0.0,4.25,0,36.19,CALL,BOVESPA
PETRP371,"PETROBRAS PN, R$ 36.19, 17-04-2025",0.0,0.0,0.0,0.02,0,36.19,PUT,BOVESPA
PETRD374,"PETROBRAS PN, R$ 36.44, 17-04-2025",0.0,0.0,0.0,4.06,0,36.44,CALL,BOVESPA
PETRP374,"PETROBRAS PN, R$ 36.44, 17-04-2025",0.0,0.0,0.0,0.02,0,36.44,PUT,BOVESPA
PETRD376,"PETROBRAS PN, R$ 36.69, 17-04-2025",0.0,0.0,0.0,3.3,0,36.69,CALL,BOVESPA
PETRP376,"PETROBRAS PN, R$ 36.69, 17-04-2025",0.0,0.0,0.0,1.93,0,36.69,PUT,BOVESPA
PETRD379,"PETROBRAS PN, R$ 36.94, 17-04-2025",0.0,0.0,0.0,4.1,0,36.94,CALL,BOVESPA
PETRP379,"PETROBRAS PN, R$ 36.94, 17-04-2025",0.0,0.0,0.0,2.1,0,36.94,PUT,BOVESPA
PETRD381,"PETROBRAS PN, R$ 37.19, 17-04-2025",0.0,0.0,0.0,2.74,0,37.19,CALL,BOVESPA
PETRP381,"PETROBRAS PN, R$ 37.19, 17-04-2025",0.0,0.0,0.0,1.95,0,37.19,PUT,BOVESPA
PETRD384,"PETROBRAS PN, R$ 37.44, 17-04-2025",0.0,0.0,0.0,2.5,0,37.44,CALL,BOVESPA
PETRP384,"PETROBRAS PN, R$ 37.44, 17-04-2025",1.4,2.19,1.4,2.19,600,37.44,PUT,BOVESPA
PETRD386,"PETROBRAS PN, R$ 37.69, 17-04-2025",0.0,0.0,0.0,4.14,0,37.69,CALL,BOVESPA
PETRP386,"PETROBRAS PN, R$ 37.69, 17-04-2025",0.0,0.0,0.0,1.71,0,37.69,PUT,BOVESPA
PETRD389,"PETROBRAS PN, R$ 37.94, 17-04-2025",0.0,0.0,0.0,3.94,0,37.94,CALL,BOVESPA
PETRP389,"PETROBRAS PN, R$ 37.94, 17-04-2025",0.0,0.0,0.0,2.24,0,37.94,PUT,BOVESPA
PETRD391,"PETROBRAS PN, R$ 38.19, 17-04-2025",2.27,2.27,2.2,2.2,400,38.19,CALL,BOVESPA
PETRP391,"PETROBRAS PN, R$ 38.19, 17-04-2025",0.0,0.0,0.0,0.1,0,38.19,PUT,BOVESPA
PETRD394,"PETROBRAS PN, R$ 38.44, 17-04-2025",0.0,0.0,0.0,3.35,0,38.44,CALL,BOVESPA
PETRP394,"PETROBRAS PN, R$ 38.44, 17-04-2025",0.0,0.0,0.0,0.05,0,38.44,PUT,BOVESPA
PETRD396,"PETROBRAS PN, R$ 38.69, 17-04-2025",0.0,0.0,0.0,2.76,0,38.69,CALL,BOVESPA
PETRP396,"PETROBRAS PN, R$ 38.69, 17-04-2025",0.0,0.0,0.0,2.47,0,38.69,PUT,BOVESPA
PETRD399,"PETROBRAS PN, R$ 38.94, 17-04-2025",0.0,0.0,0.0,3.33,0,38.94,CALL,BOVESPA
PETRP399,"PETROBRAS PN, R$ 38.94, 17-04-2025",0.0,0.0,0.0,3.0,0,38.94,PUT,BOVESPA
PETRD401,"PETROBRAS PN, R$ 39.19, 17-04-2025",0.0,0.0,0.0,2.66,0,39.19,CALL,BOVESPA
PETRP401,"PETROBRAS PN, R$ 39.19, 17-04-2025",0.0,0.0,0.0,2.9,0,39.19,PUT,BOVESPA
PETRD404,"PETROBRAS PN, R$ 39.44, 17-04-2025",0.0,0.0,0.0,2.0,0,39.44,CALL,BOVESPA
PETRP404,"PETROBRAS PN, R$ 39.44, 17-04-2025",0.0,0.0,0.0,2.78,0,39.44,PUT,BOVESPA
PETRD406,"PETROBRAS PN, R$ 39.69, 17-04-2025",0.0,0.0,0.0,1.69,0,39.69,CALL,BOVESPA
PETRP406,"PETROBRAS PN, R$ 39.69, 17-04-2025",0.0,0.0,0.0,0.0,0,39.69,PUT,BOVESPA
PETRD446,"PETROBRAS PN, R$ 39.94, 17-04-2025",0.0,0.0,0.0,1.8,0,39.94,CALL,BOVESPA
PETRP446,"PETROBRAS PN, R$ 39.94, 17-04-2025",0.0,0.0,0.0,3.84,0,39.94,PUT,BOVESPA
PETRD411,"PETROBRAS PN, R$ 40.19, 17-04-2025",1.68,1.68,1.68,1.68,1000,40.19,CALL,BOVESPA
PETRP411,"PETROBRAS PN, R$ 40.19, 17-04-2025",0.0,0.0,0.0,3.29,0,40.19,PUT,BOVESPA
PETRD452,"PETROBRAS PN, R$ 40.44, 17-04-2025",0.0,0.0,0.0,1.6,0,40.44,CALL,BOVESPA
PETRP452,"PETROBRAS PN, R$ 40.44, 17-04-2025",0.0,0.0,0.0,3.37,0,40.44,PUT,BOVESPA
PETRD416,"PETROBRAS PN, R$ 40.69, 17-04-2025",0.0,0.0,0.0,2.41,0,40.69,CALL,BOVESPA
PETRP416,"PETROBRAS PN, R$ 40.69, 17-04-2025",0.0,0.0,0.0,1.27,0,40.69,PUT,BOVESPA
PETRD419,"PETROBRAS PN, R$ 40.94, 17-04-2025",0.0,0.0,0.0,1.4,0,40.94,CALL,BOVESPA
PETRP419,"PETROBRAS PN, R$ 40.94, 17-04-2025",0.0,0.0,0.0,3.7,0,40.94,PUT,BOVESPA
PETRD424,"PETROBRAS PN, R$ 41.44, 17-04-2025",1.26,1.26,1.22,1.22,200,41.44,CALL,BOVESPA
PETRP424,"PETROBRAS PN, R$ 41.44, 17-04-2025",0.0,0.0,0.0,0.0,0,41.44,PUT,BOVESPA
PETRD429,"PETROBRAS PN, R$ 41.94, 17-04-2025",0.0,0.0,0.0,0.03,0,41.94,CALL,BOVESPA
PETRP429,"PETROBRAS PN, R$ 41.94, 17-04-2025",0.0,0.0,0.0,2.34,0,41.94,PUT,BOVESPA
PETRD434,"PETROBRAS PN, R$ 42.44, 17-04-2025",0.0,0.0,0.0,1.29,0,42.44,CALL,BOVESPA
PETRP434,"PETROBRAS PN, R$ 42.44, 17-04-2025",0.0,0.0,0.0,3.8,0,42.44,PUT,BOVESPA
PETRD426,"PETROBRAS PN, R$ 42.69, 17-04-2025",0.0,0.0,0.0,1.3,0,42.69,CALL,BOVESPA
PETRP426,"PETROBRAS PN, R$ 42.69, 17-04-2025",0.0,0.0,0.0,0.0,0,42.69,PUT,BOVESPA
